time (ms),Ia,Ib,Ic,L1,L2,L3,G
0.031,335.6455865,58.53722028,-85.38601092,1,0,0,1
0.032,275.9251074,72.3920566,-63.47809304,1,0,0,1
0.033,200.7520933,79.0248884,-35.45458986,1,0,0,1
0.034,116.9597363,77.8280248,-4.104069793,1,0,0,1
0.035,32.16875823,68.89553981,27.55410523,1,0,0,1
0.036,-45.86014273,53.13505297,56.41916394,1,0,0,1
0.037,-110.0003101,32.08182367,79.67563042,1,0,0,1
0.038,-154.4350086,7.801878555,95.05094703,1,0,0,1
0.039,-175.2408459,-17.31734417,101.0394521,1,0,0,1
0.04,-170.8776373,-40.81934401,97.0806218,1,0,0,1
0.041,-142.130536,-60.39104489,83.55457802,1,0,0,1
0.042,-92.19113601,-74.11097938,61.78397264,1,0,0,1
0.043,-26.33932786,-80.63199843,33.90529494,1,0,0,1
0.044,48.62066893,-79.29846505,2.618251388,1,0,0,1
0.045,125.0429331,-70.27244618,-28.93139927,1,0,0,1
0.046,195.1011698,-54.41962806,-57.68229382,1,0,0,1
0.047,251.6528962,-33.26199302,-80.84185686,1,0,0,1
0.048,288.9193516,-8.894687075,-96.14144321,1,0,0,1
0.049,302.9216695,16.31195583,-102.0554018,1,0,0,1
0.05,292.0557412,39.88571992,-98.00289741,1,0,0,1
0.051,257.1765489,59.5389647,-84.41080738,1,0,0,1
0.052,201.422367,73.32077391,-62.55318883,1,0,0,1
0.053,130.025283,79.88980404,-34.58375916,1,0,0,1
0.054,49.8067875,78.63729624,-3.276678465,1,0,0,1
0.055,-31.60111938,69.67359698,28.32944613,1,0,0,1
0.056,-106.4159648,53.8745514,57.15077568,1,0,0,1
0.057,-167.4607101,32.77065699,80.35359037,1,0,0,1
0.058,-208.9944409,8.456850376,95.69965038,1,0,0,1
0.059,-227.0585718,-16.69677669,101.6615069,1,0,0,1
0.06,-220.0723016,-40.22999167,97.66748181,1,0,0,1
